"","Player_name","Player_position","Player_age","Transfer_season","Transfer_from_division","Transfer_from_team","Transfer_to_division","Transfer_to_team","Transfer_fee","MV_transfer","First_time_EU","Loan_Transfer","MV_4y_high","Transfer_4y","Transfer_after"
"56","Federico Fernández","Centre-Back",22,"11/12","Torneo Final","Estudiantes","Serie A","SSC Napoli","3,30 Mill. €",NA,NA,NA,NA,NA,NA
"57","Federico Rodríguez","Centre-Forward",19,"10/11","Primera División","Peñarol","Serie A","Genoa","4,20 Mill. €",3e+05,"Yes","No",3500000,"Yes",3e+06
"58","Felipe Anderson","Left Winger",20,"13/14","Série A","Santos FC","Serie A","Lazio","7,50 Mill. €",6e+06,"Yes","No",2.5e+07,"No",NA
"59","Felipe Mattioni","Right-Back",21,"10/11","Brazil","Maga","LaLiga","Espanyol","2,00 Mill. €",2e+06,"No","Yes",NA,"No",NA
"60","Felipe Seymour","Defensive Midfield",23,"11/12","Primera División","U. de Chile","Serie A","Genoa","1,75 Mill. €",1500000,"Yes","No",NA,"Yes",0
"61","Fernando Uribe","Centre-Forward",23,"10/11","Liga Águila II","Once Caldas","Serie A","Chievo Verona","750 Th. €",850000,"Yes","No",3e+06,"Yes",1500000
"62","França","Defensive Midfield",21,"12/13","Brazil","Mirassol-SP","Bundesliga","Hannover 96","1,30 Mill. €",NA,"Yes","Yes",2e+06,"Yes",0
"63","Francisco Silva","Defensive Midfield",27,"13/14","Primera División","CDUC","LaLiga","CA Osasuna","1,20 Mill. €",1200000,"No","Yes",2500000,"Yes",NA
"64","Franco Sosa","Right-Back",28,"09/10","Torneo Final","Racing Club","Ligue 1","FC Lorient","800 Th. €",1500000,"Yes","No",2200000,"Yes",0
"65","Franco Vázquez","Attacking Midfield",22,"11/12","Torneo Final","Belgrano","Serie A","Palermo","4,50 Mill. €",2500000,"Yes","No",9e+06,"Yes",1e+07
"66","Franco Zuculini","Central Midfield",18,"09/10","Torneo Final","Racing Club","Bundesliga","TSG Hoffenheim","4,60 Mill. €",3e+06,"Yes","No",NA,"Yes",0
"67","Gabriel","Goalkeeper",19,"12/13","Brazil","Cruzeiro B","Serie A","AC Milan","500 Th. €",3e+05,"Yes","No",2800000,"No",NA
"68","Gabriel Paulista","Centre-Back",22,"13/14","Série A","EC Vitória","LaLiga","Villarreal","3,30 Mill. €",1e+06,"Yes","No",1.3e+07,"Yes",1.5e+07
"69","Gabriel Peñalba","Central Midfield",24,"09/10","Torneo Final","Argentinos Jrs.","Ligue 1","FC Lorient","1,50 Mill. €",1800000,"No","No",NA,"Yes",0
"70","Gabriel Silva","Left-Back",20,"11/12","Série A","Palmeiras","LaLiga","Granada CF","4,00 Mill. €",2500000,"Yes","No",3500000,"Yes",4e+06
"71","Galatto","Goalkeeper",27,"10/11","Série A","Athletico-PR","LaLiga","Málaga CF","1,60 Mill. €",8e+05,"No","Yes",1e+06,"Yes",0
"72","Gary Medel","Defensive Midfield",23,"10/11","Primera División","CDUC","LaLiga","Sevilla FC","3,00 Mill. €",5e+06,"Yes","Yes",1.3e+07,"Yes",1.3e+07
"73","Gastón Ramírez","Attacking Midfield",19,"10/11","Primera División","Peñarol","Serie A","Bologna","3,36 Mill. €",7e+05,"Yes","No",1.5e+07,"Yes",15200000
"74","Gil","Centre-Back",24,"11/12","Brazil","Aparecida","Ligue 1","Valenciennes FC","3,00 Mill. €",3e+06,"Yes","Yes",7500000,"Yes",3500000
"75","Gino Peruzzi","Right-Back",21,"13/14","Torneo Final","Vélez Sarsfield","Serie A","Catania","3,72 Mill. €",3e+06,"Yes","No",4e+06,"Yes",2750000
"76","Gonzalo Bergessio","Centre-Forward",25,"09/10","Torneo Final","San Lorenzo","Ligue 1","Saint-Étienne","6,20 Mill. €",3300000,"No","No",NA,"Yes",1900000
